ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score,Event,Period
US1NJGL0006,39.5936,-75.0692,FRANKLIN TWP 2.7 W,12,0,0.0,8.664886978243869,Coastal,12,2,16.67,False,8.34,Sandy,Before
US1NJGL0007,39.7678,-75.0685,WASHINGTON TWP 1.5 N,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0008,39.6465,-75.1141,ELK TWP 2.5 ESE,12,12,100.0,6.242610007499112,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0010,39.7555,-75.236,MULLICA HILL 1.3 NNW,12,12,100.0,4.800804991560766,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0011,39.6991,-75.2876,WOOLWICH TWP 3.2 SSE,12,0,0.0,10.79606777498846,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJGL0012,39.7739,-75.0925,WASHINGTON TWP 2.1 NNW,12,7,58.33,0.0,Coastal,5,0,0.0,True,29.16,Sandy,Before
US1NJGL0015,39.6916,-75.0596,MONROE TWP 5.1 WNW,12,12,100.0,3.4275042716659763,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0017,39.7111,-75.1402,GLASSBORO 1.6 WNW,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0022,39.8009,-75.2387,EAST GREENWICH TWP 0.7 N,12,12,100.0,0.7019935722624149,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0023,39.8111,-75.2214,EAST GREENWICH TWP 1.7 NE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0024,39.686,-75.1855,ELK TWP 2.2 NW,12,12,100.0,4.404643052126682,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJHD0002,40.7729,-74.1409,KEARNY 1.7 NW,12,3,25.0,0.0,Coastal,9,0,0.0,False,12.5,Sandy,Before
US1NJHN0001,40.7261,-74.8433,CALIFON 0.6 NW,12,0,0.0,19.8907110610623,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0002,40.4547,-75.0318,STOCKTON 4.4 NW,12,11,91.67,15.251844148042004,Coastal,1,0,0.0,True,45.84,Sandy,Before
US1NJHN0003,40.6418,-74.8827,CLINTON 1.6 ENE,12,12,100.0,17.784351400357913,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJHN0004,40.6055,-74.9224,FRANKLIN TWP 2.8 NNE,12,0,0.0,21.423438447193156,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0005,40.5724,-74.8147,READINGTON TWP 2.0 WSW,12,0,0.0,9.848703110439796,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0007,40.66,-75.008,BETHLEHEM TWP 0.6 S,12,7,58.33,18.14382338622865,Coastal,5,0,0.0,True,29.16,Sandy,Before
US1NJHN0008,40.6727,-74.903,HIGH BRIDGE 0.6 WNW,12,0,0.0,21.074887917787336,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0009,40.5663,-74.9443,FRANKLIN TWP 0.4 W,12,9,75.0,24.23803741873776,Coastal,3,0,0.0,True,37.5,Sandy,Before
US1NJHN0010,40.5083,-74.8152,FLEMINGTON 2.3 E,12,0,0.0,13.484155322727212,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0011,40.594,-74.749,READINGTON TWP 1.8 ENE,12,1,8.33,2.1299297692837142,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJHN0012,40.6317,-75.1045,HOLLAND TWP 2.6 NNE,12,0,0.0,10.109089145903287,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0015,40.5091,-74.8549,FLEMINGTON 0.3 E,12,0,0.0,16.9866129045944,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0018,40.6872,-74.8575,CLINTON TWP 3.9 N,12,6,50.0,17.403493681534044,Coastal,6,0,0.0,True,25.0,Sandy,Before
US1NJHN0019,40.6064,-74.871,LEBANON 3.2 SW,12,0,0.0,15.725484173916596,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0021,40.6841,-74.8389,LEBANON 2.8 N,12,0,0.0,15.418526383101273,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0022,40.4549,-75.012,KINGWOOD TWP 2.5 S,12,0,0.0,16.483609290206807,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJHN0025,40.6418,-74.8249,LEBANON 0.5 E,12,8,66.67,11.450859868119204,Coastal,4,0,0.0,True,33.34,Sandy,Before
US1NJHN0026,40.5726,-75.0123,ALEXANDRIA TWP 1.5 SE,12,12,100.0,23.52137586204004,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJHN0027,40.5677,-75.0228,ALEXANDRIA TWP 1.5 SSE,12,12,100.0,23.175840971624027,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMC0001,40.3295,-74.782,PENNINGTON 0.5 ENE,12,2,16.67,0.7051772627617868,Coastal,10,1,10.0,False,13.34,Sandy,Before
US1NJMC0002,40.2286,-74.6472,HAMILTON TWP 2.3 NE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMC0003,40.3294,-74.6482,WEST WINDSOR TWP 3.0 NNW,12,2,16.67,0.0,Coastal,10,0,0.0,False,8.34,Sandy,Before
US1NJMC0004,40.2242,-74.6443,HAMILTON TWP 2.2 NE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMC0005,40.31,-74.7243,LAWRENCE TWP 1.0 NNW,12,0,0.0,0.26888250930194924,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMC0008,40.324,-74.8523,HOPEWELL TWP 2.8 WSW,12,0,0.0,6.049851545997827,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMC0009,40.2707,-74.7295,LAWRENCE TWP 1.8 SSW,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMC0011,40.2519,-74.7751,EWING TWP 1.6 SE,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMC0015,40.2703,-74.7275,LAWRENCE TWP 1.8 SSW,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMC0016,40.2104,-74.6204,ROBBINSVILLE TWP 1.7 WSW,12,0,0.0,2.4342597709239215,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMC0021,40.1918,-74.6786,HAMILTON TWP 0.9 S,12,8,66.67,0.0,Coastal,4,0,0.0,True,33.34,Sandy,Before
US1NJMC0022,40.2733,-74.7175,LAWRENCE TWP 1.6 S,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMC0030,40.3046,-74.758,HOPEWELL TWP 3.9 SE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMC0050,40.2413,-74.7755,EWING TWP 2.1 SE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMD0002,40.447,-74.508,NORTH BRUNSWICK TWP 1.5 W,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMD0006,40.3003,-74.5286,CRANBURY TWP 0.9 SSW,12,11,91.67,0.0,Coastal,1,0,0.0,True,45.84,Sandy,Before
US1NJMD0009,40.4099,-74.573,SOUTH BRUNSWICK TWP 3.1 NW,12,2,16.67,0.0,Coastal,10,1,10.0,False,13.34,Sandy,Before
US1NJMD0015,40.4031,-74.5199,SOUTH BRUNSWICK TWP 1.3 NNE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMD0018,40.497,-74.4291,HIGHLAND PARK 0.2 S,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMD0023,40.5789,-74.4014,SOUTH PLAINFIELD 0.8 ENE,12,3,25.0,0.0,Coastal,9,0,0.0,False,12.5,Sandy,Before
US1NJMD0024,40.5392,-74.4795,PISCATAWAY TWP 1.0 WSW,12,6,50.0,0.0,Coastal,6,0,0.0,True,25.0,Sandy,Before
US1NJMD0025,40.4698,-74.4607,NORTH BRUNSWICK TWP 1.7 NE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMD0028,40.4897,-74.4409,NEW BRUNSWICK 0.3 NE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMD0031,40.4513,-74.3129,OLD BRIDGE TWP 3.3 N,12,8,66.67,0.0,Coastal,4,0,0.0,True,33.34,Sandy,Before
US1NJMD0033,40.5835,-74.4284,SOUTH PLAINFIELD 0.9 NW,12,1,8.33,0.0,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJMD0038,40.5629,-74.3669,EDISON TWP 1.9 N,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMD0039,40.4739,-74.4,EAST BRUNSWICK TWP 3.3 NNE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMN0001,40.201,-74.009,BRADLEY BEACH 0.2 ESE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMN0005,40.2421,-74.0298,OCEAN TWP 0.8 SE,12,2,16.67,0.0,Coastal,10,0,0.0,False,8.34,Sandy,Before
US1NJMN0006,40.3622,-74.0833,RED BANK 1.3 NW,12,7,58.33,0.0,Coastal,5,0,0.0,True,29.16,Sandy,Before
US1NJMN0008,40.1678,-74.0261,LAKE COMO 0.2 S,12,1,8.33,0.0,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJMN0010,40.3034,-74.04,EATONTOWN 1.2 NE,12,6,50.0,0.0,Coastal,6,0,0.0,True,25.0,Sandy,Before
US1NJMN0012,40.3204,-74.1927,COLTS NECK TWP 2.4 NW,12,12,100.0,3.712346818381433,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMN0015,40.3773,-74.1595,HOLMDEL TWP 0.7 E,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMN0016,40.2279,-74.3142,FREEHOLD TWP 1.0 WNW,12,9,75.0,0.07686363720227138,Coastal,3,0,0.0,True,37.5,Sandy,Before
US1NJMN0017,40.1838,-74.2448,HOWELL TWP 2.5 W,12,0,0.0,0.3830304767582371,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJMN0019,40.2274,-74.0127,ASBURY PARK 0.3 N,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMN0020,40.1739,-74.0656,WALL TWP 1.7 ENE,12,0,0.0,0.0,Coastal,12,2,16.67,False,8.34,Sandy,Before
US1NJMN0024,40.18,-74.052,WALL TWP 2.5 ENE,12,0,0.0,0.0,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJMN0029,40.427,-74.1071,MIDDLETOWN TWP 2.9 NNW,12,6,50.0,0.0,Coastal,6,1,16.67,True,33.34,Sandy,Before
US1NJMN0032,40.3627,-74.0312,FAIR HAVEN 0.4 E,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMN0043,40.1533,-74.2028,HOWELL TWP 2.0 S,12,12,100.0,0.40185680339376445,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMN0044,40.3716,-73.9972,RUMSON 0.7 NNE,12,0,0.0,2.0876943436681787,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMN0048,40.297,-74.0015,LONG BRANCH 0.5 W,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMN0049,40.1761,-74.0353,BELMAR 0.6 WSW,12,7,58.33,0.0,Coastal,5,0,0.0,True,29.16,Sandy,Before
US1NJMN0051,40.3671,-73.9979,RUMSON 0.5 NE,12,0,0.0,2.604211316679338,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMN0052,40.235,-74.4755,MILLSTONE TWP 2.9 WNW,12,12,100.0,7.23137069325168,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMN0055,40.251,-74.2819,FREEHOLD 0.7 SSW,12,11,91.67,0.0,Coastal,1,0,0.0,True,45.84,Sandy,Before
US1NJMS0002,40.667,-74.4827,LONG HILL TWP 1.2 SSE,12,0,0.0,0.0,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJMS0003,40.8054,-74.5045,MORRIS TWP 0.8 NW,12,8,66.67,0.0,Coastal,4,0,0.0,True,33.34,Sandy,Before
US1NJMS0004,40.9658,-74.4878,ROCKAWAY TWP 0.7 NE,12,4,33.33,5.647985383044876,Coastal,8,0,0.0,True,16.66,Sandy,Before
US1NJMS0006,40.9018,-74.5189,ROCKAWAY 0.4 NNW,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJMS0008,40.8232,-74.5484,RANDOLPH TWP 2.2 SE,12,12,100.0,0.6501378219315388,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJMS0009,40.8581,-74.658,ROXBURY TWP 1.7 S,12,6,50.0,0.01893247726007746,Coastal,6,0,0.0,True,25.0,Sandy,Before
US1NJMS0011,40.9096,-74.4141,BOONTON 0.6 NW,12,1,8.33,0.0,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJMS0014,40.7556,-74.4098,MADISON 0.5 ESE,12,3,25.0,0.0,Coastal,9,0,0.0,False,12.5,Sandy,Before
