ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region
US1NJOC0040,40.1181,-74.3972,JACKSON TWP 2.5 WNW,12,1,8.33,35.309735651776236,Coastal
US1NJOC0042,39.9028,-74.2064,BERKELEY TWP 1.3 SSW,12,0,0.0,7.9358048034729265,Coastal
US1NJOC0049,40.1018,-74.2757,JACKSON TWP 4.3 E,12,10,83.33,22.879144833909773,Coastal
US1NJOC0051,39.735,-74.2525,STAFFORD TWP 2.2 NNE,12,0,0.0,7.061274031939073,Coastal
US1NJPS0004,40.9713,-74.1856,NORTH HALEDON 0.6 N,12,3,25.0,29.92243577458752,Coastal
US1NJPS0005,40.9517,-74.1573,HAWTHORNE 0.4 S,12,0,0.0,25.95083255031204,Coastal
US1NJPS0010,41.1107,-74.2575,RINGWOOD 1.0 ENE,12,12,100.0,35.658800520432244,Coastal
US1NJPS0012,40.8796,-74.227,LITTLE FALLS TWP 0.5 WNW,12,0,0.0,26.983290493901293,Coastal
US1NJPS0013,41.1705,-74.3293,WEST MILFORD TWP 5.5 NE,12,7,58.33,40.61478234973788,Coastal
US1NJPS0014,40.9436,-74.1523,HAWTHORNE 1.0 SSE,12,0,0.0,25.00625350944044,Coastal
US1NJPS0015,40.9369,-74.2515,WAYNE TWP 0.8 SSW,12,9,75.0,34.809606212715956,Coastal
US1NJPS0016,41.141,-74.3536,WEST MILFORD TWP 3.2 NE,12,0,0.0,44.21352004176774,Coastal
US1NJPS0017,40.8918,-74.196,WOODLAND PARK 0.1 NW,12,12,100.0,26.398327090990158,Coastal
US1NJPS0018,40.9163,-74.2005,PATERSON 2.0 W,12,12,100.0,28.381106926470853,Coastal
US1NJPS0019,41.0351,-74.2892,WANAQUE 0.6 S,12,0,0.0,41.938187998861586,Coastal
US1NJPS0021,41.0739,-74.368,WEST MILFORD TWP 2.5 SSE,12,9,75.0,49.10644391584523,Coastal
US1NJPS0022,41.0653,-74.2571,RINGWOOD 3.0 SSE,12,1,8.33,37.83686041733086,Coastal
US1NJSL0002,39.6561,-75.3338,WOODSTOWN 0.6 NW,12,0,0.0,16.90358636289436,Coastal
US1NJSL0003,39.5137,-75.1363,PITTSGROVE TWP 1.9 S,12,2,16.67,32.693717721253385,Coastal
US1NJSM0001,40.4726,-74.5904,HILLSBOROUGH TWP 4.7 ESE,12,0,0.0,34.444932355323054,Coastal
US1NJSM0002,40.6831,-74.5524,BERNARDS TWP 0.9 ENE,12,0,0.0,37.770626058972425,Coastal
US1NJSM0003,40.493,-74.5175,FRANKLIN TWP 2.1 ENE,12,7,58.33,26.146857967375414,Coastal
US1NJSM0004,40.6834,-74.5731,BERNARDS TWP 0.6 NNW,12,0,0.0,39.79180247087596,Coastal
US1NJSM0005,40.6262,-74.6535,BRIDGEWATER TWP 3.3 NW,12,0,0.0,45.08815040852512,Coastal
US1NJSM0007,40.5266,-74.5792,FRANKLIN TWP 4.5 NW,12,12,100.0,33.28490772328369,Coastal
US1NJSM0009,40.5937,-74.6434,BRIDGEWATER TWP 1.9 W,12,12,100.0,42.56436860376806,Coastal
US1NJSM0011,40.6563,-74.6305,BEDMINSTER TWP 2.9 ESE,12,0,0.0,43.94610351127469,Coastal
US1NJSM0012,40.5006,-74.4875,FRANKLIN TWP 3.8 ENE,12,0,0.0,22.804688704911307,Coastal
